;xi;yi;yi_sq;delta_yi;actual_yi;eps
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;0.05000;0.00006;0.00000;0.00006;0.00004;0.00002
2;0.10000;0.00038;0.00019;0.00031;0.00033;0.00004
3;0.15000;0.00120;0.00088;0.00082;0.00114;0.00006
4;0.20000;0.00279;0.00234;0.00160;0.00271;0.00008
5;0.25000;0.00544;0.00485;0.00265;0.00534;0.00010
6;0.30000;0.00946;0.00871;0.00401;0.00934;0.00012
7;0.35000;0.01517;0.01425;0.00571;0.01503;0.00014
8;0.40000;0.02295;0.02184;0.00778;0.02279;0.00016
9;0.45000;0.03323;0.03190;0.01028;0.03306;0.00017
10;0.50000;0.04649;0.04490;0.01326;0.04630;0.00019
